ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,pident,evalue,HexColor
ASV_4594,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,98.106,2.08E-128,#F2CECE
ASV_4595,Fungi,Ascomycota,Sordariomycetes,Xylariales,Sporocadaceae,Pestalotiopsis,Pestalotiopsis disseminata,100,4.67E-170,#ADDADA
ASV_4596,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia globosa,99.731,0,#8A3030
ASV_4597,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium bilaiae,100,5.71E-159,#8AAFAF
ASV_4598,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp,100,2.45E-09,#9D7051
ASV_4599,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia furfur,100,2.91E-177,#602121
ASV_4600,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Yarrowia,Yarrowia lipolytica,99.127,2.39E-113,#F2CECE
ASV_4601,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida orthopsilosis,99.257,3.11E-136,#F0C3C3
ASV_4602,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia sp,99.706,2.92E-177,#AC6D6D
ASV_4603,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.596,0,#756EAC
ASV_4604,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia sp,98.195,4.25E-135,#C09C9C
ASV_4605,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma,Meyerozyma guilliermondii,99.664,5.66E-154,#F2CECE
ASV_4606,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania bulderi,100,0,#C09C9C
ASV_4607,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.798,0,#756EAC
ASV_4608,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,99.761,0,#9D7051
ASV_4609,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris sp,97.753,5.47E-36,#BDE1E1
ASV_4610,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,96.476,1.08E-101,#F2CECE
ASV_4611,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sojae,100,1.15E-145,#F0C3C3
ASV_4612,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida saopaulonensis,92.636,8.10E-98,#F2CECE
ASV_4614,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium sp,100,4.03E-07,#9D7051
ASV_4615,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia sp,98.556,9.14E-137,#C09C9C
ASV_4617,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida parapsilosis,99.642,1.92E-143,#F2CECE
ASV_4618,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,99.683,2.12E-163,#3F8D3D
ASV_4619,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,99.683,2.12E-163,#3F8D3D
ASV_4621,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp,100,1.43E-05,#BDE1E1
ASV_4622,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.394,0,#756EAC
ASV_4623,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida orthopsilosis,99.628,6.68E-138,#F0C3C3
ASV_4624,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Rhynchogastrema,Rhynchogastrema tunnelae,98.195,1.15E-135,#C48C66
ASV_4625,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,100,2.65E-137,#F2CECE
ASV_4626,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Millerozyma,Millerozyma farinosa,99.432,0,#F2CECE
ASV_4627,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida melibiosica,90.283,6.65E-84,#F0C3C3
ASV_4628,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,100,2.28E-123,#F2CECE
ASV_4629,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida parapsilosis,99.642,1.92E-143,#F2CECE
ASV_4630,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia sp,96.029,4.30E-125,#C09C9C
ASV_4631,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,98.864,9.60E-132,#F2CECE
ASV_4632,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,2.54E-109,#756EAC
ASV_4633,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora sp,99.576,1.79E-119,#C09C9C
ASV_4634,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.545,3.29E-136,#F2CECE
ASV_4635,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.197,0,#756EAC
ASV_4636,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,96.708,1.37E-110,#F2CECE
ASV_4637,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Flagellospora,Flagellospora curvula,100,2.57E-152,#ADDADA
ASV_4638,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,Stemphylium vesicarium,99.671,2.66E-157,#ADDADA
ASV_4639,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,99.698,2.86E-172,#BDE1E1
ASV_4640,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida albicans,100,1.37E-132,#F0C3C3
ASV_4641,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoglaucus,99.632,1.45E-139,#64A363
ASV_4643,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Phialosimplex,Phialosimplex sclerotialis,99.687,4.61E-165,#ADDADA
ASV_4644,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,98.12,5.75E-129,#F2CECE
ASV_4645,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida parapsilosis,99.642,1.92E-143,#F2CECE
ASV_4646,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia sp,98.556,9.14E-137,#C09C9C
ASV_4648,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.798,0,#756EAC
ASV_4649,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania gamospora,99.481,0,#F2CECE
ASV_4650,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania barnettii,100,0,#F2CECE
ASV_4651,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Yamadazyma,Yamadazyma triangularis,100,1.37E-132,#F2CECE
ASV_4652,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida intermedia,99.585,1.05E-121,#C09C9C
ASV_4653,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia sp,98.551,2.53E-137,#C09C9C
ASV_4654,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon ovoides,100,3.03E-136,#C48C66
ASV_4655,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.596,0,#756EAC
ASV_4656,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida albicans,99.628,6.68E-138,#F0C3C3
ASV_4657,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma sp,98.162,2.59E-132,#9D7051
ASV_4658,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium sordidulum,100,4.34E-150,#8AAFAF
ASV_4659,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera jadinii,99.631,5.21E-139,#F0C3C3
