SampleID,qPCR18S
1192KK,33676.29122
1705I,35238.42340783228
1766E,36108.92716415422
1705A,36600.67558
1826A,37451.40564363766
1713N,39121.797688802086
1713F,39440.67855475326
1657K,39554.433242236024
1816A,39809.99792850379
1755F,39911.44581005588
1709A,40164.37413
1690B,40611.99540661955
FMT.0241C,41196.8929492796
FMT.0020F,42642.82513112529
1773B,43049.665891807264
FMT.0050G,43426.57422262524
1809B,43750.57527388649
FMT.0010O,44624.95978580349
FMT.0010M,44822.443819594104
1690D,45522.94270128742
1766K,47513.50383710742
1192W,49090.59230451542
FMT.0243A,49461.0812
1772M,49815.29535031785
FMT.0010D,52031.076468673404
1705C,52164.56943
1773O,52457.33772
1687N,53643.478523971695
FMT.0218D,54019.62172
1684F,54313.28960796735
1760J,55046.368966142225
1658J,56340.95764160156
698I,56346.37852889464
1700H,57208.5933986014
1809J,57621.25162271647
FMT.0063D,58452.82777014037
FMT.0063N,58883.197383793515
1713Q,59708.89664016583
1720B,62706.68593
FMT.0035H,70396.88913445723
1734D,70494.36595927434
1802K,71784.24177498653
1705D,73629.20073
972M,74745.7655314802
1773D,75199.69714393497
1665G,77330.41231749488
FMT.0035I,81021.14991645592
1721B,82207.97526
FMT.0063K,83817.88777237928
1684C,84599.1093694827
1758B,84610.6683938655
FMT.0010P,85140.24165638706
1711B,86422.1573578499
1687D,86967.76378767293
1760L,87180.85970197406
1789H,88075.23041768791
FMT.0244B,89838.4827
FMT.0061BB,91845.40525007476
1642C,92983.92159598214
FMT.0028C,94633.32084760275
1802F,97972.4609375
1760K,99453.59619908364
FMT.0107A,100980.60542701656
1705J,102613.76462390074
1665B,104116.00124616564
FMT.0239A,105053.4338984929
1785H,106011.7764
1642B,107201.30941901408
1734C,108546.4950529127
FMT.0050B,110970.72804271852
FMT.0063L,111903.07757983707
1786A,22856451.0
FMT.0010R,117238.43137604641
1802D,119270.02687550201
1728C,125673.43383215963
1711A,126054.22752490942
1687A,128150.75102306549
1730C,131169.9659348371
FMT.0063GG,131196.17049530905
1657C,131448.44624875623
FMT.0239D,131947.47730248177
972K,134382.4869791667
1751P,136284.37619438118
FMT.0239B,139503.1992594401
972O,141254.28868705267
FMT.0050E,141305.33854166666
FMT.0244A,143239.4652
1713I,143550.5739708698
1810C,146581.1810090174
1709D,150140.7172
1687H,151897.59174495147
1816G,155671.30921378967
1818P,156675.63498557152
972C,165566.0323409347
1786B,24133162.0
FMT.0035M,167273.68046120167
FMT.0063M,170120.44270833334
1802C,171177.72587363835
1786C,11632337.0
1757B,172376.09553850803
FMT.0061L,172966.21054530624
1708F,175081.4627
1758E,176258.844705858
1772C,176589.03769841272
1818Q,178772.48562154424
972N,184051.60487383264
FMT.0035J,189963.5404698989
1728A,193431.17678381255
FMT.0010J,193795.54239908853
1726D,197301.0953
1711L,198161.0938
1656A,204821.20990825686
1695C,208000.0
1798L,209702.90572554976
FMT.0244L,210071.4859
1818G,212142.71463373656
1686H,213238.39393028844
FMT.0050F,213963.8337119533
1816D,218667.9485198917
1657H,220647.76470588235
FMT.0010N,221425.09214339717
1766B,221680.89817387398
1711N,222909.52400481192
1713D,226901.9791666667
1777E,229726.37824292455
FMT.0248E,232563.9567
1734P,235721.5416
1751O,236830.32718894002
1826D,238133.8644347735
FMT.063MM,238920.11623938105
1773L,239007.0258246528
1822C,241920.04504504506
1773I,243491.8427714156
1766C,245045.58992995066
1809K,249754.69435307017
FMT.0248H,253873.9638
1671A,255737.85641772597
1814M,260039.8488705524
FMT.0063K,263965.3613626325
1809M,268459.3926872591
1826C,272875.240265377
FMT.0020C,275339.6637271149
1818F,276590.1165786121
1726A,277175.7275
1642G,286394.68621351046
1814O,288805.35313901346
FMT.0251A,292961.6025050268
FMT.0250V,305627.4589703237
1824E,307436.4561305608
1776O,308157.4708876606
1823B,312667.7847599638
1720A,313050.6038
1823A,317700.9756706621
1801A,319720.67808493593
972J,323310.3593629992
1772J,324159.6350509129
1758H,325754.5538470017
1686F,330088.0174512987
1777D,333383.3996357362
1687I,334186.0881
FMT.0035B,334610.52537454985
1757H,337725.0855671611
1642R,339735.87970344385
1773P,343781.3376
1796D,346226.9142121647
1826E,352038.9013352737
FMT.0063L,352702.5325295559
1705L,354760.49450860504
1642I,354766.7347
FMT.0063J,354806.3214619955
1686A,355779.5128455529
1773M,358760.7578
1814E,359822.8759765625
972I,360341.69186827954
FMT.0050K,365563.6563628159
1731K,373643.84242466517
FMT.0063K,377930.2166151355
